date,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,year,month,day,objectid,expected_tanker_capacity,tanker_capacity_loss,tanker_capacity_shortfall_fraction,severe_flow_shortfall,flow_episode_id,episode_onset,target_flow_episode_onset_next_1d,target_flow_episode_onset_next_3d,target_flow_episode_onset_next_7d,episode_tanker_capacity_loss
2019-01-01,chokepoint6,Strait of Hormuz,6,9,1,3,33,19,52,129147,272678,0,2898,2390755,404724,2795480,2019,1,1,14433,1719314.4561033829,0.0,0.0,0,0,0,0.0,0.0,0.0,
2019-01-02,chokepoint6,Strait of Hormuz,13,9,0,2,37,24,61,547743,419636,0,2013,1022523,969394,1991917,2019,1,2,14434,1826548.0,804025.0,0.4401882677049823,1,0,0,0.0,0.0,0.0,
2019-01-03,chokepoint6,Strait of Hormuz,10,9,3,0,49,22,71,428426,330114,3891,0,2841667,762432,3604099,2019,1,3,14435,1897125.3475262388,0.0,0.0,0,0,0,0.0,0.0,1.0,
2019-01-04,chokepoint6,Strait of Hormuz,10,11,2,1,35,24,59,448045,279996,22708,8512,1207506,759264,1966770,2019,1,4,14436,1896965.0783293045,689459.0783293045,0.36345375368561084,1,0,0,0.0,0.0,1.0,
2019-01-05,chokepoint6,Strait of Hormuz,10,13,3,1,34,27,61,359502,659561,2521,0,1830227,1021585,2851813,2019,1,5,14437,1927476.3740089703,97249.37400897034,0.050454249567117,0,0,0,0.0,0.0,1.0,
2019-01-06,chokepoint6,Strait of Hormuz,6,12,0,2,36,20,56,78135,352530,0,7826,2219169,438493,2657662,2019,1,6,14438,1802039.6741673504,0.0,0.0,0,0,0,0.0,0.0,1.0,
2019-01-07,chokepoint6,Strait of Hormuz,8,7,4,1,52,20,72,290939,226869,14350,2281,1940965,534441,2475406,2019,1,7,14439,1844350.751483137,0.0,0.0,0,0,0,0.0,1.0,1.0,
2019-01-08,chokepoint6,Strait of Hormuz,7,10,6,1,31,24,55,305673,382677,50264,0,515105,738615,1253720,2019,1,8,14440,1744767.6670685906,1229662.6670685906,0.7047715809260523,1,0,0,0.0,1.0,1.0,
2019-01-09,chokepoint6,Strait of Hormuz,5,7,4,1,21,17,38,182230,281960,9307,0,1805444,473499,2278943,2019,1,9,14441,1835785.0,30341.0,0.016527534542443694,0,0,0,1.0,1.0,1.0,
2019-01-10,chokepoint6,Strait of Hormuz,8,8,5,2,35,23,58,279030,189300,25189,12097,789993,505618,1295612,2019,1,10,14442,1897125.3475262388,1107132.3475262388,0.5835841838125703,1,1,1,0.0,0.0,0.0,4697968.326882237
