evidence_id,file_sha256,relative_path,episode_bindings,window_bindings,source_class,artifact_kind,source_url,extract_status,text_object,original_metadata_rows,normalized_text_sha256,bytes
EV-895A1D3736C2,2d9c08a2b1b7e81e7d9c08ade0f09d143bd7801c830c49e7e035a1782f0dde15,E006/GARD/onset/automated_pending/E006_GARD_onset__search-Gulf-of-Oman/20260913T224926885288Z_qrm2o0ds/E006_GARD_onset__search-Gulf-of-Oman.html,E006,onset,GARD,listing_capture,https://gard.no/search/?searchTerm=Gulf%20of%20Oman,extracted,texts/2d9c08a2b1b7e81e7d9c08ade0f09d143bd7801c830c49e7e035a1782f0dde15.json,,6fa1e1afec4bde06041ef70a1c98328676224726359cb7407f9832498bae0a39,239105
EV-A5FD9EDFBD93,aea5e4ea097012e7c0b9eacb8dca1da7e537f2a6923f4f653d22605264d1b3ff,E006/GARD/onset/automated_pending/E006_GARD_onset__search-Gulf-of-Oman/20260913T224926885288Z_qrm2o0ds/E006_GARD_onset__search-Gulf-of-Oman.pdf,E006,onset,GARD,listing_capture,https://gard.no/search/?searchTerm=Gulf%20of%20Oman,extracted,texts/aea5e4ea097012e7c0b9eacb8dca1da7e537f2a6923f4f653d22605264d1b3ff.json,,0412154754f2bd83c8d775563223b4003f5d9d979a1ab9c611852504188a1760,2171684
EV-FE4517242497,58ac68ba60a4dac2659a48d34c1020e2a749fe01df543ae508c67a4e1a01645b,E006/GARD/onset/automated_pending/E006_GARD_onset__search-Gulf-of-Oman/20260913T224926885288Z_qrm2o0ds/E006_GARD_onset__search-Gulf-of-Oman__document-940c2cb2ca.html,E006,onset,GARD,article_capture,https://gard.no/en/insights/incident-gulf-oman/,extracted,texts/58ac68ba60a4dac2659a48d34c1020e2a749fe01df543ae508c67a4e1a01645b.json,,e3b1f3860fce8e60c7f173fdfab95504d2f6b96dcd7cb677853acaab3c4b3d2b,446190
EV-FE4517242497,559c6d1e7f9495ab3b336f169ed1eafcb79ec0ecc3b6ba1ef15a0d0e74db94dd,E006/GARD/onset/automated_pending/E006_GARD_onset__search-Gulf-of-Oman/20260913T224926885288Z_qrm2o0ds/E006_GARD_onset__search-Gulf-of-Oman__document-940c2cb2ca.pdf,E006,onset,GARD,article_capture,https://gard.no/en/insights/incident-gulf-oman/,extracted,texts/559c6d1e7f9495ab3b336f169ed1eafcb79ec0ecc3b6ba1ef15a0d0e74db94dd.json,,cdc350c26683edc248310dcf9a69615c4e1ba7dc095e694e35c57cae898a91cf,1207375
EV-D0D9DB7EE681,802d9438227e53a8f86700bf1be0180e01b505869465190c2427af24c1b08b54,E006/GARD/onset/automated_pending/E006_GARD_onset__search-Hormuz/20260913T225002552805Z_hlqn7j18/E006_GARD_onset__search-Hormuz.html,E006,onset,GARD,listing_capture,https://gard.no/search/?searchTerm=Hormuz,extracted,texts/802d9438227e53a8f86700bf1be0180e01b505869465190c2427af24c1b08b54.json,,b79c4b1fa3760ce02d0639b5741c7df34f783cb6bff232659a6a707fefc93083,239151
EV-11176339EC8D,890d4902461370beb61a50c71c21168de826ac6ef38a1624ce9af05841afd0ab,E006/GARD/onset/automated_pending/E006_GARD_onset__search-Hormuz/20260913T225002552805Z_hlqn7j18/E006_GARD_onset__search-Hormuz.pdf,E006,onset,GARD,listing_capture,https://gard.no/search/?searchTerm=Hormuz,extracted,texts/890d4902461370beb61a50c71c21168de826ac6ef38a1624ce9af05841afd0ab.json,,b5d15d3b471487fe0ec0aea549d2764af13d8a6808942a11d2595dea8d4c8aee,3714562
EV-FE4517242497,f0661976ab5da10237caa2dd0b36ef9d92a695eee75fc9f4284168805184ad5d,E006/GARD/onset/automated_pending/E006_GARD_onset__search-Hormuz/20260913T225002552805Z_hlqn7j18/E006_GARD_onset__search-Hormuz__document-940c2cb2ca.html,E006,onset,GARD,article_capture,https://gard.no/en/insights/incident-gulf-oman/,extracted,texts/f0661976ab5da10237caa2dd0b36ef9d92a695eee75fc9f4284168805184ad5d.json,,e3b1f3860fce8e60c7f173fdfab95504d2f6b96dcd7cb677853acaab3c4b3d2b,446190
EV-FE4517242497,f0661976ab5da10237caa2dd0b36ef9d92a695eee75fc9f4284168805184ad5d,E006/GARD/onset/automated_pending/E006_GARD_onset__search-war-risk/20260913T225400396088Z_92o18b7u/E006_GARD_onset__search-war-risk__document-940c2cb2ca.html,E006,onset,GARD,article_capture,https://gard.no/en/insights/incident-gulf-oman/,extracted,texts/f0661976ab5da10237caa2dd0b36ef9d92a695eee75fc9f4284168805184ad5d.json,,e3b1f3860fce8e60c7f173fdfab95504d2f6b96dcd7cb677853acaab3c4b3d2b,446190
EV-FE4517242497,2e28b660dda13c983537ebb789100a653ef7be202a5b7b2d0dacef0f43393ee1,E006/GARD/onset/automated_pending/E006_GARD_onset__search-Hormuz/20260913T225002552805Z_hlqn7j18/E006_GARD_onset__search-Hormuz__document-940c2cb2ca.pdf,E006,onset,GARD,article_capture,https://gard.no/en/insights/incident-gulf-oman/,extracted,texts/2e28b660dda13c983537ebb789100a653ef7be202a5b7b2d0dacef0f43393ee1.json,,e78047bb45a845a233324aee05b34cc05e2abbc1a0c89472fb18ae490f243c80,1206937
EV-572E5168A67F,9017acc9e23a307843b08ac3bee712a4bee53cb1bef4417b44ae981e8cfcecd8,E006/GARD/onset/automated_pending/E006_GARD_onset__search-Iran/20260913T225038982311Z_e4wuacq5/E006_GARD_onset__search-Iran.html,E006,onset,GARD,listing_capture,https://gard.no/search/?searchTerm=Iran,extracted,texts/9017acc9e23a307843b08ac3bee712a4bee53cb1bef4417b44ae981e8cfcecd8.json,,b7d5bf99e0bcfe2992f141002b0860785d0356a9a7bc40bf4d39216fcd8221f6,252598
