severe_shortfall_threshold,minimum_consecutive_days,specifications,target_detection_rate,median_total_episodes,median_test_episodes,minimum_target_onset,maximum_target_onset,median_target_onset_offset_days,minimum_target_onset_offset_days,maximum_target_onset_offset_days,median_target_duration_days,target_onset_range_days
0.2,2,12,1.0,53.0,1.0,2025-11-16,2026-02-26,0.0,-102,0,193.0,102
0.2,3,12,1.0,28.0,1.0,2025-11-16,2026-03-01,3.0,-102,3,190.0,105
0.2,5,12,1.0,13.0,2.0,2025-11-21,2026-03-01,3.0,-97,3,190.0,100
0.3,2,12,1.0,36.5,1.0,2026-02-26,2026-02-26,0.0,0,0,193.0,0
0.3,3,12,1.0,19.0,1.0,2026-03-01,2026-03-01,3.0,3,3,190.0,0
0.3,5,12,1.0,10.0,1.5,2026-03-01,2026-03-01,3.0,3,3,190.0,0
0.4,2,12,1.0,30.0,2.5,2026-02-26,2026-03-01,0.0,0,3,193.0,3
0.4,3,12,1.0,19.0,1.0,2026-03-01,2026-03-01,3.0,3,3,190.0,0
0.4,5,12,1.0,4.0,1.0,2026-03-01,2026-03-01,3.0,3,3,190.0,0
0.5,2,12,1.0,25.5,1.0,2026-03-01,2026-03-01,3.0,3,3,190.0,0
0.5,3,12,1.0,10.0,1.0,2026-03-01,2026-03-01,3.0,3,3,190.0,0
0.5,5,12,1.0,3.0,1.0,2026-03-01,2026-03-01,3.0,3,3,190.0,0
0.7,2,12,1.0,6.0,1.0,2026-03-01,2026-03-01,3.0,3,3,190.0,0
0.7,3,12,1.0,3.0,1.0,2026-03-01,2026-03-01,3.0,3,3,190.0,0
0.7,5,12,1.0,1.0,1.0,2026-03-01,2026-03-01,3.0,3,3,190.0,0
0.9,2,12,1.0,2.0,2.0,2026-03-01,2026-03-01,3.0,3,3,113.0,0
0.9,3,12,1.0,2.0,2.0,2026-03-01,2026-03-01,3.0,3,3,113.0,0
0.9,5,12,1.0,2.0,2.0,2026-03-01,2026-03-01,3.0,3,3,113.0,0
