flow_episode_id,start_date,end_date,duration_days,severe_days,episode_tanker_capacity_loss,maximum_shortfall_fraction,split
1,2019-01-10,2019-01-15,6,4,4697968.326882237,0.7540356707847287,training
2,2019-02-04,2019-02-22,19,14,16969070.506437175,0.7875981958070281,training
3,2019-02-26,2019-03-27,30,21,25399007.35591492,0.7546161041883659,training
4,2019-04-01,2019-04-15,15,10,15613702.45248417,0.7515756238664663,training
5,2019-04-24,2019-04-26,3,3,4142470.654464022,0.5771080387784635,training
6,2019-05-31,2019-06-01,2,2,2447287.959369365,0.4896625137082506,training
7,2019-06-19,2019-06-22,4,3,4188781.991789957,0.5434880297800238,training
8,2019-09-24,2019-09-25,2,2,1757706.3052501394,0.36700249794116074,training
9,2019-10-06,2019-10-07,2,2,1976931.8269749908,0.41876328532347196,training
10,2019-11-11,2019-12-01,21,18,23607893.49758985,0.8352258988997917,training
11,2019-12-05,2019-12-09,5,4,6219613.797019275,0.8408435468551643,training
12,2019-12-18,2019-12-27,10,8,9531419.662772827,0.9039861080835447,training
13,2020-01-06,2020-02-05,31,25,28545267.0381501,0.8987204006957303,training
14,2020-02-09,2020-02-16,8,7,9406139.80959752,0.882248919712153,training
15,2020-02-26,2020-02-28,3,3,3583223.2403320186,0.7592087812284943,training
16,2020-03-04,2020-03-06,3,3,2997596.7930975216,0.558312029701222,training
17,2020-03-15,2020-03-18,4,3,2932265.4093244323,0.494362614620356,training
18,2020-03-22,2020-03-30,9,6,8480077.751118131,0.6999957198977541,training
19,2020-04-15,2020-04-18,4,3,3157463.903690944,0.5726152236592342,training
20,2020-04-22,2020-04-23,2,2,3222678.0849650544,0.9071761952597195,training
21,2020-06-27,2020-07-02,6,5,6484594.774791645,0.5385160052286343,training
22,2020-10-10,2020-10-14,5,5,4833953.995450405,0.5143856458438433,training
23,2020-10-27,2020-10-28,2,2,1449904.5848604818,0.3168524679465436,training
24,2020-11-12,2020-12-01,20,17,21888535.13500255,0.8632474655611551,training
25,2020-12-07,2020-12-28,22,16,17230211.61846106,0.7991689125222106,training
26,2021-01-01,2021-01-14,14,10,9519412.24592043,0.6697997227641832,training
27,2021-01-22,2021-01-24,3,3,3327404.6904261103,0.7329696653272076,training
28,2021-02-20,2021-02-28,9,6,7706087.899647014,0.8642929422642672,training
29,2021-03-07,2021-03-13,7,5,4758190.057158272,0.5896909502930755,training
30,2023-11-22,2023-11-24,3,3,2794279.726750223,0.5136222526493267,training
31,2024-02-28,2024-03-02,4,3,3238773.152715817,0.6618560292115767,validation
32,2024-09-07,2024-09-08,2,2,1904363.421137887,0.3739562055556697,validation
33,2024-10-15,2024-10-16,2,2,1659254.8152087396,0.37385460225345807,validation
34,2024-10-27,2024-11-01,6,6,6358103.736785112,0.687114148458447,validation
35,2024-11-14,2024-11-15,2,2,1594503.6234865892,0.40526822983346883,validation
36,2024-12-03,2024-12-04,2,2,1805810.0427221637,0.6823091825468615,validation
37,2025-02-01,2025-02-08,8,5,5374515.8635793915,0.4591350955699128,validation
38,2025-02-26,2025-03-01,4,4,4536019.847525001,0.7078799769423263,validation
39,2025-03-25,2025-03-26,2,2,2765782.7863416937,0.6391238410078802,validation
40,2025-04-17,2025-04-18,2,2,3320784.025621038,0.6450294998389556,validation
41,2025-05-08,2025-05-09,2,2,2901092.043501945,0.645480865094893,validation
42,2025-08-15,2025-08-16,2,2,1679713.5099051376,0.3057080486213816,validation
43,2025-09-11,2025-09-15,5,5,6451867.749463744,0.5778893876723493,validation
44,2025-09-20,2025-09-26,7,5,5812384.563215952,0.6626818141352694,validation
45,2025-10-08,2025-10-18,11,10,11852295.092959693,0.6356823011444127,validation
46,2025-11-03,2025-11-04,2,2,2885567.8108239663,0.7097418897295246,validation
47,2025-11-16,2025-11-17,2,2,1547569.6225862396,0.37385685047028533,validation
48,2025-11-22,2025-12-25,34,21,19831387.02298951,0.6172235447865811,validation
49,2026-01-13,2026-01-28,16,12,11024750.283565484,0.6488082106737447,test
50,2026-02-03,2026-02-11,9,6,5975070.998359412,0.5320426166409676,test
51,2026-02-26,2026-09-06,193,191,463594502.87018174,1.0,test
