task_id,episode_cluster_id,flow_episode_id,phase4_split,dependency_group,relative_path,sha256,size_bytes,evidence_present,evidence_storage_type,source_class,document_id,signal_family_id,document_role,evidence_date,issue_date,publication_date,effective_date,expiry_date,geographic_scope,window_type,is_zero_result_capture,is_direct_official,is_update,parent_family_id,reviewer_1,reviewer_2,adjudication_status,notes,review_origin,review_id,evidence_id,reviewer_1_decision,reviewer_2_decision,historical_availability_status,prior_episode_overlap_status,review_action,claim_eligibility_status,onset_date,days_from_onset,active_flow_episode_id,clean_pre_onset_signal,independent_episode_unit
E051_GARD_onset,E051,51,test,E051,E051/GARD/onset/E051_Gard_Circular-01-2026_published-2026-03-01_effective-2026-03-05.pdf,bf424254b659b5b608971243a42e7fae3f102a0134f1270c487cf796e42a50b6,249440,True,local_original,GARD,bf424254b659b5b6,GARD-CIRCULAR-01-2026,positive_signal,2026-03-01,,2026-03-01,2026-03-05,,Persian/Arabian Gulf and adjacent waters,onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,3.0,51.0,False,E051
E051_IUA_JWC_LMA_onset,E051,51,test,E051,E051/IUA_JWC_LMA/onset/E051_IUA_JWC_JWLA-033_issued-2026-03-03.pdf,df761598928c937850a48d41260f7445ae56e25a8d1a792c1b4430f04be299d9,208144,True,local_original,IUA_JWC_LMA,df761598928c9378,JWLA-033,positive_signal,2026-03-03,2026-03-03,,,,"Persian/Arabian Gulf, Gulf of Oman and adjacent waters",onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,5.0,51.0,False,E051
E051_MARAD_onset,E051,51,test,E051,E051/MARAD/onset/E051_MARAD_2026-0001B_effective-2026-03-06.pdf,7cb2953ce534988a0cddfdd289c7c6a565aa36a99ebde6db4391f91fa8446544,274986,True,local_original,MARAD,7cb2953ce534988a,MARAD-2026-0001B,positive_signal,2026-03-06,,,2026-03-06,,"Strait of Hormuz, Persian/Arabian Gulf, Gulf of Oman and adjacent waters",onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,8.0,51.0,False,E051
E051_MARAD_onset,E051,51,test,E051,E051/MARAD/onset/E051_MARAD_2026-001A_effective-2026-02-28.pdf,bbd274aa6211059d544e4f11601d5503d02a6a60e0ad05e26033343120567aab,280011,True,local_original,MARAD,bbd274aa6211059d,MARAD-2026-001A,positive_signal,2026-02-28,,,2026-02-28,,"Strait of Hormuz, Persian/Arabian Gulf, Gulf of Oman and adjacent waters",onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,2.0,51.0,False,E051
E051_MARAD_pre_onset,E051,51,test,E051,E051/MARAD/pre_onset/E051_MARAD_Search_PreOnset_2026-01-27_to_2026-02-25.pdf,85f97cd9d32d3e3521843b3a308d260403d8d712741aa65a55322ed177532fe8,252759,True,local_original,MARAD,85f97cd9d32d3e35,,zero_result_capture,,,,,,"Strait of Hormuz, Persian/Arabian Gulf, Gulf of Oman and adjacent waters",pre_onset,True,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,not_applicable,2026-02-26,,,False,E051
E051_UKMTO_WARNING_pre_onset,E051,51,test,E051,E051/UKMTO_WARNING/pre_onset/E051_UKMTO_Warnings_PreOnset_February-2026_two-excluded-no-Hormuz-records.pdf,e1827ad3cb4b40b3641ba7e8e856e6114a5ed0f5b390d9b8a21a28af7635e0ef,106287,True,local_original,UKMTO_WARNING,e1827ad3cb4b40b3,,zero_result_capture,,,,,,Strait of Hormuz and adjacent waters,pre_onset,True,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,not_applicable,2026-02-26,,,False,E051
E051_UKMTO_WARNING_pre_onset,E051,51,test,E051,E051/UKMTO_WARNING/pre_onset/E051_UKMTO_Warnings_PreOnset_January-2026_zero-records.pdf,88633bb18c984f51d96aadda7440902701da95ae939db7134d8767e76391b455,96636,True,local_original,UKMTO_WARNING,88633bb18c984f51,,zero_result_capture,,,,,,Strait of Hormuz and adjacent waters,pre_onset,True,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,not_applicable,2026-02-26,,,False,E051
E051_UKMTO_ADVISORY_pre_onset,E051,51,test,E051,E051/UKMTO_ADVISORY/pre_onset/20260203-UKMTO_ADVISORY_001-26.pdf,ce313bd01498ad4ea349c5bdc3368613ae4db7ca545e929cce10743c5b08bd11,223125,True,local_original,UKMTO_ADVISORY,ce313bd01498ad4e,UKMTO-ADVISORY-001-26,positive_signal,2026-02-03,2026-02-03,,,,Strait of Hormuz and adjacent waters,pre_onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,-23.0,50.0,False,E051
E051_UKMTO_ADVISORY_onset,E051,51,test,E051,E051/UKMTO_ADVISORY/onset/20260228-UKMTO_ADVISORY_003-26-UPDATE_01.pdf,b8865cfc5bdb980de66e9154773088af9495bb0a385e3cc55963032d0e56f0e5,139321,True,local_original,UKMTO_ADVISORY,b8865cfc5bdb980d,UKMTO-ADVISORY-003-26,update,2026-02-28,2026-02-28,,,,Strait of Hormuz and adjacent waters,onset,False,True,True,UKMTO-ADVISORY-003-26,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,2.0,51.0,False,E051
E051_UKMTO_ADVISORY_onset,E051,51,test,E051,E051/UKMTO_ADVISORY/onset/20260228-UKMTO_ADVISORY_003-26.pdf,c7afb2663b9ab390416283276738c4a3813573ae7e58d0f9abf54e187421c006,248106,True,local_original,UKMTO_ADVISORY,c7afb2663b9ab390,UKMTO-ADVISORY-003-26,positive_signal,2026-02-28,2026-02-28,,,,Strait of Hormuz and adjacent waters,onset,False,True,False,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,2026-02-26,2.0,51.0,False,E051
