task_id,episode_cluster_id,source_class,window_type,date_from,date_to,status
E006_MARAD_pre_onset,E006,MARAD,pre_onset,2019-05-01,2019-05-30,pending_collection
E006_UKMTO_WARNING_pre_onset,E006,UKMTO_WARNING,pre_onset,2019-05-01,2019-05-30,pending_collection
E006_UKMTO_ADVISORY_pre_onset,E006,UKMTO_ADVISORY,pre_onset,2019-05-01,2019-05-30,pending_collection
E006_IUA_JWC_LMA_pre_onset,E006,IUA_JWC_LMA,pre_onset,2019-05-01,2019-05-30,pending_review
E006_GARD_pre_onset,E006,GARD,pre_onset,2019-05-01,2019-05-30,pending_review
E006_MARAD_onset,E006,MARAD,onset,2019-05-31,2019-06-14,pending_review
E006_UKMTO_WARNING_onset,E006,UKMTO_WARNING,onset,2019-05-31,2019-06-14,pending_collection
E006_UKMTO_ADVISORY_onset,E006,UKMTO_ADVISORY,onset,2019-05-31,2019-06-14,pending_collection
E006_IUA_JWC_LMA_onset,E006,IUA_JWC_LMA,onset,2019-05-31,2019-06-14,pending_review
E006_GARD_onset,E006,GARD,onset,2019-05-31,2019-06-14,pending_review
E007_MARAD_pre_onset,E007,MARAD,pre_onset,2019-05-20,2019-06-18,pending_review
E007_UKMTO_WARNING_pre_onset,E007,UKMTO_WARNING,pre_onset,2019-05-20,2019-06-18,pending_collection
E007_UKMTO_ADVISORY_pre_onset,E007,UKMTO_ADVISORY,pre_onset,2019-05-20,2019-06-18,pending_collection
E007_IUA_JWC_LMA_pre_onset,E007,IUA_JWC_LMA,pre_onset,2019-05-20,2019-06-18,pending_review
E007_GARD_pre_onset,E007,GARD,pre_onset,2019-05-20,2019-06-18,pending_review
E007_MARAD_onset,E007,MARAD,onset,2019-06-19,2019-07-03,pending_collection
E007_UKMTO_WARNING_onset,E007,UKMTO_WARNING,onset,2019-06-19,2019-07-03,pending_collection
E007_UKMTO_ADVISORY_onset,E007,UKMTO_ADVISORY,onset,2019-06-19,2019-07-03,pending_collection
E007_IUA_JWC_LMA_onset,E007,IUA_JWC_LMA,onset,2019-06-19,2019-07-03,pending_review
E007_GARD_onset,E007,GARD,onset,2019-06-19,2019-07-03,pending_collection
E027_MARAD_pre_onset,E027,MARAD,pre_onset,2020-12-23,2021-01-21,pending_review
E027_UKMTO_WARNING_pre_onset,E027,UKMTO_WARNING,pre_onset,2020-12-23,2021-01-21,pending_collection
E027_UKMTO_ADVISORY_pre_onset,E027,UKMTO_ADVISORY,pre_onset,2020-12-23,2021-01-21,pending_collection
E027_IUA_JWC_LMA_pre_onset,E027,IUA_JWC_LMA,pre_onset,2020-12-23,2021-01-21,pending_review
E027_GARD_pre_onset,E027,GARD,pre_onset,2020-12-23,2021-01-21,pending_review
E027_MARAD_onset,E027,MARAD,onset,2021-01-22,2021-02-05,pending_collection
E027_UKMTO_WARNING_onset,E027,UKMTO_WARNING,onset,2021-01-22,2021-02-05,pending_collection
E027_UKMTO_ADVISORY_onset,E027,UKMTO_ADVISORY,onset,2021-01-22,2021-02-05,pending_collection
E027_IUA_JWC_LMA_onset,E027,IUA_JWC_LMA,onset,2021-01-22,2021-02-05,pending_review
E027_GARD_onset,E027,GARD,onset,2021-01-22,2021-02-05,pending_collection
E029_MARAD_pre_onset,E029,MARAD,pre_onset,2021-02-05,2021-03-06,pending_review
E029_UKMTO_WARNING_pre_onset,E029,UKMTO_WARNING,pre_onset,2021-02-05,2021-03-06,pending_collection
E029_UKMTO_ADVISORY_pre_onset,E029,UKMTO_ADVISORY,pre_onset,2021-02-05,2021-03-06,pending_collection
E029_IUA_JWC_LMA_pre_onset,E029,IUA_JWC_LMA,pre_onset,2021-02-05,2021-03-06,pending_review
E029_GARD_pre_onset,E029,GARD,pre_onset,2021-02-05,2021-03-06,pending_collection
E029_MARAD_onset,E029,MARAD,onset,2021-03-07,2021-03-21,pending_collection
E029_UKMTO_WARNING_onset,E029,UKMTO_WARNING,onset,2021-03-07,2021-03-21,pending_collection
E029_UKMTO_ADVISORY_onset,E029,UKMTO_ADVISORY,onset,2021-03-07,2021-03-21,pending_collection
E029_IUA_JWC_LMA_onset,E029,IUA_JWC_LMA,onset,2021-03-07,2021-03-21,pending_review
E029_GARD_onset,E029,GARD,onset,2021-03-07,2021-03-21,pending_collection
E031_MARAD_pre_onset,E031,MARAD,pre_onset,2024-01-29,2024-02-27,pending_collection
E031_UKMTO_WARNING_pre_onset,E031,UKMTO_WARNING,pre_onset,2024-01-29,2024-02-27,pending_review
E031_UKMTO_ADVISORY_pre_onset,E031,UKMTO_ADVISORY,pre_onset,2024-01-29,2024-02-27,complete
E031_IUA_JWC_LMA_pre_onset,E031,IUA_JWC_LMA,pre_onset,2024-01-29,2024-02-27,pending_review
E031_GARD_pre_onset,E031,GARD,pre_onset,2024-01-29,2024-02-27,pending_review
E031_MARAD_onset,E031,MARAD,onset,2024-02-28,2024-03-13,pending_collection
E031_UKMTO_WARNING_onset,E031,UKMTO_WARNING,onset,2024-02-28,2024-03-13,pending_review
E031_UKMTO_ADVISORY_onset,E031,UKMTO_ADVISORY,onset,2024-02-28,2024-03-13,pending_review
E031_IUA_JWC_LMA_onset,E031,IUA_JWC_LMA,onset,2024-02-28,2024-03-13,pending_review
E031_GARD_onset,E031,GARD,onset,2024-02-28,2024-03-13,pending_review
E032_MARAD_pre_onset,E032,MARAD,pre_onset,2024-08-08,2024-09-06,pending_collection
E032_UKMTO_WARNING_pre_onset,E032,UKMTO_WARNING,pre_onset,2024-08-08,2024-09-06,pending_collection
E032_UKMTO_ADVISORY_pre_onset,E032,UKMTO_ADVISORY,pre_onset,2024-08-08,2024-09-06,pending_collection
E032_IUA_JWC_LMA_pre_onset,E032,IUA_JWC_LMA,pre_onset,2024-08-08,2024-09-06,pending_review
E032_GARD_pre_onset,E032,GARD,pre_onset,2024-08-08,2024-09-06,pending_collection
E032_MARAD_onset,E032,MARAD,onset,2024-09-07,2024-09-21,pending_collection
E032_UKMTO_WARNING_onset,E032,UKMTO_WARNING,onset,2024-09-07,2024-09-21,pending_collection
E032_UKMTO_ADVISORY_onset,E032,UKMTO_ADVISORY,onset,2024-09-07,2024-09-21,pending_collection
E032_IUA_JWC_LMA_onset,E032,IUA_JWC_LMA,onset,2024-09-07,2024-09-21,pending_review
E032_GARD_onset,E032,GARD,onset,2024-09-07,2024-09-21,pending_collection
E038_MARAD_pre_onset,E038,MARAD,pre_onset,2025-01-27,2025-02-25,complete
E038_UKMTO_WARNING_pre_onset,E038,UKMTO_WARNING,pre_onset,2025-01-27,2025-02-25,complete
E038_UKMTO_ADVISORY_pre_onset,E038,UKMTO_ADVISORY,pre_onset,2025-01-27,2025-02-25,complete
E038_IUA_JWC_LMA_pre_onset,E038,IUA_JWC_LMA,pre_onset,2025-01-27,2025-02-25,complete
E038_GARD_pre_onset,E038,GARD,pre_onset,2025-01-27,2025-02-25,complete
E038_MARAD_onset,E038,MARAD,onset,2025-02-26,2025-03-12,complete
E038_UKMTO_WARNING_onset,E038,UKMTO_WARNING,onset,2025-02-26,2025-03-12,complete
E038_UKMTO_ADVISORY_onset,E038,UKMTO_ADVISORY,onset,2025-02-26,2025-03-12,complete
E038_IUA_JWC_LMA_onset,E038,IUA_JWC_LMA,onset,2025-02-26,2025-03-12,complete
E038_GARD_onset,E038,GARD,onset,2025-02-26,2025-03-12,complete
E042_MARAD_pre_onset,E042,MARAD,pre_onset,2025-07-16,2025-08-14,complete
E042_UKMTO_WARNING_pre_onset,E042,UKMTO_WARNING,pre_onset,2025-07-16,2025-08-14,complete
E042_UKMTO_ADVISORY_pre_onset,E042,UKMTO_ADVISORY,pre_onset,2025-07-16,2025-08-14,complete
E042_IUA_JWC_LMA_pre_onset,E042,IUA_JWC_LMA,pre_onset,2025-07-16,2025-08-14,complete
E042_GARD_pre_onset,E042,GARD,pre_onset,2025-07-16,2025-08-14,complete
E042_MARAD_onset,E042,MARAD,onset,2025-08-15,2025-08-29,complete
E042_UKMTO_WARNING_onset,E042,UKMTO_WARNING,onset,2025-08-15,2025-08-29,complete
E042_UKMTO_ADVISORY_onset,E042,UKMTO_ADVISORY,onset,2025-08-15,2025-08-29,complete
E042_IUA_JWC_LMA_onset,E042,IUA_JWC_LMA,onset,2025-08-15,2025-08-29,complete
E042_GARD_onset,E042,GARD,onset,2025-08-15,2025-08-29,complete
E045_MARAD_pre_onset,E045,MARAD,pre_onset,2025-09-08,2025-10-07,complete
E045_UKMTO_WARNING_pre_onset,E045,UKMTO_WARNING,pre_onset,2025-09-08,2025-10-07,complete
E045_UKMTO_ADVISORY_pre_onset,E045,UKMTO_ADVISORY,pre_onset,2025-09-08,2025-10-07,complete
E045_IUA_JWC_LMA_pre_onset,E045,IUA_JWC_LMA,pre_onset,2025-09-08,2025-10-07,complete
E045_GARD_pre_onset,E045,GARD,pre_onset,2025-09-08,2025-10-07,complete
E045_MARAD_onset,E045,MARAD,onset,2025-10-08,2025-10-22,complete
E045_UKMTO_WARNING_onset,E045,UKMTO_WARNING,onset,2025-10-08,2025-10-22,complete
E045_UKMTO_ADVISORY_onset,E045,UKMTO_ADVISORY,onset,2025-10-08,2025-10-22,complete
E045_IUA_JWC_LMA_onset,E045,IUA_JWC_LMA,onset,2025-10-08,2025-10-22,complete
E045_GARD_onset,E045,GARD,onset,2025-10-08,2025-10-22,complete
E047_MARAD_pre_onset,E047,MARAD,pre_onset,2025-10-17,2025-11-15,pending_collection
E047_UKMTO_WARNING_pre_onset,E047,UKMTO_WARNING,pre_onset,2025-10-17,2025-11-15,pending_collection
E047_UKMTO_ADVISORY_pre_onset,E047,UKMTO_ADVISORY,pre_onset,2025-10-17,2025-11-15,pending_collection
E047_IUA_JWC_LMA_pre_onset,E047,IUA_JWC_LMA,pre_onset,2025-10-17,2025-11-15,pending_review
E047_GARD_pre_onset,E047,GARD,pre_onset,2025-10-17,2025-11-15,pending_review
E047_MARAD_onset,E047,MARAD,onset,2025-11-16,2025-11-30,pending_collection
E047_UKMTO_WARNING_onset,E047,UKMTO_WARNING,onset,2025-11-16,2025-11-30,pending_collection
E047_UKMTO_ADVISORY_onset,E047,UKMTO_ADVISORY,onset,2025-11-16,2025-11-30,pending_collection
E047_IUA_JWC_LMA_onset,E047,IUA_JWC_LMA,onset,2025-11-16,2025-11-30,pending_review
